Date,Name / Description,Expense/Income,Amount (EGP),Category

2022-01-14,Monthly Phone Plan,Expense,300.00,Utilities,Finance

2022-01-15,Salary from Software Development,Income,25000.00,Income,Business
2022-01-16,Zamalek Gym Membership,Expense,800.00,Health & Fitness,Sports & Fitness
2022-01-17,Zouba Café (Coffee with Friends),Expense,120.00,Food & Beverage,Food & Beverage
2022-01-18,KFC Egypt (Lunch Out),Expense,150.00,Food & Beverage,Food & Beverage
2022-01-19,Internet & Utilities,Expense,350.00,Utilities,Finance
2022-01-20,IT Consulting Project,Income,18000.00,Income,Business
2022-01-21,Zacks Café (Hangout with Friends),Expense,120.00,Food & Beverage,Food & Beverage
2022-01-22,Mobile Data Recharge,Expense,100.00,Utilities,Finance
2022-01-23,Rent for Downtown Apartment,Expense,7200.00,Housing,Home and Garden
2022-01-24,Web Design Freelance Project,Income,9500.00,Income,Business
2022-01-25,Jumbo Supermarket (Groceries),Expense,900.00,Groceries,Grocery
2022-01-26,Transportation (Taxi Ride),Expense,80.00,Transportation,Travel and Transportation
2022-01-27,Entertainment (Movie Ticket),Expense,350.00,Entertainment,Arts & Culture
2022-01-28,Electricity Bill,Expense,1000.00,Utilities,Finance
2022-01-29,Health & Beauty Products,Expense,250.00,Health & Beauty,Beauty & Wellness
2022-01-30,Charity Donation (Local NGO),Expense,400.00,Charity/Donations,Charity/Donations
2022-01-31,Shopping (Clothing),Expense,700.00,Shopping,Clothing and Accessories
2022-01-31,Web Development Freelance Project,Income,10000.00,Income,Business
2022-01-31,Zamalek Gym Membership,Expense,800.00,Health & Fitness,Sports & Fitness
2022-01-31,Al Sultan Restaurant (Dinner Out),Expense,550.00,Food & Beverage,Food & Beverage
2022-01-31,Phone Repair Service,Expense,350.00,Technology,Technology
2022-01-31,Monthly Phone Plan,Expense,300.00,Utilities,Finance
2022-01-31,Salary from Software Development,Income,26000.00,Income,Business
2022-01-31,Art Supplies Purchase,Expense,250.00,Art/Crafts,Arts & Culture
2022-01-31,Transportation (Metro Fare),Expense,30.00,Transportation,Travel and Transportation
2022-01-31,Travel (Weekend Trip),Expense,1500.00,Travel,Travel and Tourism
2022-01-31,Food & Beverage (Family Dinner),Expense,450.00,Food & Beverage,Food & Beverage
2022-01-31,Internet & Utilities,Expense,350.00,Utilities,Finance
2022-01-31,Rent for Downtown Apartment,Expense,7200.00,Housing,Home and Garden
2022-01-31,Freelance Art Commission,Income,4000.00,Income,Business
2022-01-31,Health Insurance Premium,Expense,600.00,Health & Wellness,Health & Wellness
2022-01-31,Business Conference Registration,Expense,1000.00,Business Services,Business and Services
2022-01-31,Music Concert Tickets,Expense,500.00,Entertainment,Arts & Culture
2022-01-31,Travel Expenses (Flight Booking),Expense,2000.00,Travel,Travel and Tourism
2022-01-31,Online Shopping (Electronics),Expense,1500.00,Shopping,Online Shopping
2022-01-31,Language Classes Registration,Expense,800.00,Education,Education
2022-01-31,Subscription Renewal (Streaming Service),Expense,200.00,Subscription,Subscription
2022-01-31,Home Improvement (Furniture),Expense,900.00,Home Improvement,Home and Garden
2022-01-31,Business Equipment Purchase,Expense,1800.00,Business,Business
2022-01-31,Beauty & Wellness Spa,Expense,400.00,Health & Beauty,Beauty & Wellness
2022-01-31,Clothing Shopping (Winter Wardrobe),Expense,600.00,Clothing,Clothing and Accessories
2022-01-31,Art & Crafts Supplies,Expense,250.00,Art/Crafts,Arts & Culture
2022-01-31,Donation to Charity Organization,Expense,350.00,Charity/Donations,Charity/Donations
2022-01-31,Sporting Goods Purchase,Expense,350.00,Sport,Sports & Fitness
2022-01-31,Health & Fitness Class Registration,Expense,450.00,Health & Fitness,Sports & Fitness
2022-02-01,Carrefour Maadi (Groceries),Expense,850.00,Groceries,Grocery
2022-02-02,Monthly Phone Plan,Expense,300.00,Utilities,Finance
2022-02-03,Salary from Software Development,Income,25500.00,Income,Business
2022-02-04,Zamalek Gym Membership,Expense,800.00,Health & Fitness,Sports & Fitness
2022-02-05,Zouba Café (Coffee with Friends),Expense,120.00,Food & Beverage,Food & Beverage
2022-02-06,KFC Egypt (Lunch Out),Expense,150.00,Food & Beverage,Food & Beverage
2022-02-07,Internet & Utilities,Expense,350.00,Utilities,Finance
2022-02-08,IT Consulting Project,Income,19000.00,Income,Business
2022-02-09,Zacks Café (Hangout with Friends),Expense,120.00,Food & Beverage,Food & Beverage
2022-02-10,Mobile Data Recharge,Expense,100.00,Utilities,Finance
2022-02-11,Rent for Downtown Apartment,Expense,7200.00,Housing,Home and Garden
2022-02-12,Web Design Freelance Project,Income,10000.00,Income,Business
2022-02-13,Jumbo Supermarket (Groceries),Expense,900.00,Groceries,Grocery
